case_number,evaluation_seed,class,prompt
0,26091,Mickey_Mouse,"Mickey_Mouse, cartoon character,,caricature-like,mickey mouse is a cartoon character with a goofy expression, [32k hd]^10, il, ny, arian, smg, author, sharn, 64x64, mulato"
1,9048,Bugs_Bunny,"Bugs_Bunny, cartoon character,,caricature-like,cartoon rabbit laying on the ground with a carrot in its mouth, 😃😀😄☺🙃😉😗, looney tunes, ferocious appearance, with index finger, grayscale phtoto with red dress, animated, sharply shaped, lipstick, google images, jerry, high school mascot, animated film, fred flintstone eating tamales, 3 dimensional, blank, ribbon"
2,7804,Donald_Duck,"Donald_Duck, cartoon character,,caricature-like,donald duck in uniform waving his arms out, profile picture, customers, dove, media photo, avatar image, bone to bone, genie, goodnight, smiling smugly, falcon, maintenance photo, walking, subject= duck, classy, actors, navy, manual"
3,15058,Scooby-Doo,"Scooby-Doo, cartoon character,,caricature-like,arafed scooby and scooby are standing next to a toy van, detailed image, item, petite, kitbash, pp, boys, fi, dish, tn"
4,29268,Tom_and_Jerry,"Tom_and_Jerry, cartoon character,,caricature-like,cartoon cat laying on the ground with a toy in its paws, tom and jerry, jay leno with gray skin, sky!!!, lesbians, flash on, demo scene, marvel animation, happy!!!, jfk, on grey background, avatar image, male!!!!!!!, western animation, dora the explorer, operation, 1 st winner, filmation animation, 8 h, youtube"
5,10603,Daffy_Duck,"Daffy_Duck, cartoon character,,caricature-like,cartoon character with shadow of a duck in front of a brick wall, daffy duck, uploaded, black!!!!! background, [sirius], rabbt_character, dancing character, subject= duck, long thick shiny black beak, broadway, speedster, racy, crime, phot, tungsten, wop, cash, sittin, screen, mad"
6,6571,Bart_Simpson,"Bart_Simpson, cartoon character,,caricature-like,simpsons is standing in a red shirt and blue shorts, 1930897407, profile picture, kano), uploaded, show, bone, (books), by David Simpson, profile pic"
7,14054,Spongebob_Squarepants,"Spongebob_Squarepants, cartoon character,,caricature-like,cartoon spongebob with a tie and a tie on his chest, [[[[grinning evily]]]], super close up shot, 2 5 6 x 2 5 6 pixels, menger sponge, everyone having fun, late 2000’s, seaside, backdrop, smiling and looking directly, pentagon, elvis, savannah, starry, bob, professionally done"
8,26251,Charlie_Brown,"Charlie_Brown, cartoon character,,caricature-like,a cartoon of a charlie brown character standing in a yellow shirt, no hair completely bald, brown:-2, serious and stern expression, blond boy, 1666, unhappy, white head, giants, psychopath, nylon, big shoulders, gary, compressed jpeg, sad exasperated expression, brown clothes"
9,22179,Fred_Flintstone,"Fred_Flintstone, cartoon character,,caricature-like,cartoon of a man in a cave with a blue scarf, fred flintstone eating tamales, adult character, beaches, smirking, hziulquoigmnzhah, fox, a character based on a haggis, dokev, 1666, kid, new character, premiere, version 3, profile shot, greedy, macho, wearing a toga"
10,3411,Homer_Simpson,"Homer_Simpson, cartoon character,,caricature-like,cartoon of a man in a white shirt and blue pants, homer simpson, 'white background'!!!, 1285445247], arms extended, mma, smiling, 2 0 5 6 x 2 0 5 6, 4237549348, coal, wikipedia, chicago, lisa simpson wearing braces, hdt, finger"
11,10534,Tweety_Bird,"Tweety_Bird, cartoon character,,caricature-like,yellow bird with blue eyes and a yellow tail, looney tunes, kewpie, 2 5 6 x 2 5 6 pixels, its name is greeny, - i, actress, sassy pose, dove, wikipedia, bob clampett, drake, (winking), petite girl, highly detailded', (vines), ny"
12,25500,Yosemite_Sam,"Yosemite_Sam, cartoon character,,caricature-like,cartoon character with a red beard and a yellow shirt, looney tunes, reddish - brown, lobo, daisy, iroc, big round nose, cowboy, ( land ), cobra, patrick nagle!!!, american, reddish, clover, nylon, emir"
13,346,Road_Runner,"Road_Runner, cartoon character,,caricature-like,cartoon of a road runner and a blue bird running in the desert, sonic looks like he is shocked, kangaroo, hoverboards, subject= duck, actors, close-up fight, 2 0 0 0 s cartoon, subject : kangaroo, cliffside, a picture, deroo, high school, zoomed in, nba, cotw, eyardt, grind"
14,5969,Yogi_Bear,"Yogi_Bear, cartoon character,,caricature-like,cartoon bear with a green tie and a green hat, the jetsons, spy kangaroo, brown body, long ears, sienna, (grin), deer, stp"
15,9524,Woody_Woodpecker,"Woody_Woodpecker, cartoon character,,caricature-like,cartoon character of a bird with a red head and yellow beak, looney tunes, goofy cartoon, goose!!!!!, triumphant pose, calico, patrick nagle!!, (vines), uploaded, profile pic, 2263539546], by Tex Avery, sandman, it's morbin time, with a white background, schools, goodnight, freedom"
16,30911,Sylvester_the_Cat,"Sylvester_the_Cat, cartoon character,,caricature-like,a close up of a cartoon cat with a red nose, looney tunes, black and white fur, triumphant pose, goofy cartoon, (vines), kek, cartoon from the 90's, simple cartoon, actor, cooky, rabbt_character, legendery, elvis, tony the tiger, pink iconic character, black an white, cobra, reddit, recognizable"
17,28532,Foghorn_Leghorn,"Foghorn_Leghorn, cartoon character,,caricature-like,cartoon chicken with speech bubble saying say say i say boy, he is a long boi ”, large red eyes!!!, photo - shot, bcy. net, college, flamboyant, by Roy De Maistre, eagle logo, rhode island, boys, avatar for website, big size, tx, gay, boy's room, alejandro, profile pic, f 2"
18,5776,Marvin_the_Martian,"Marvin_the_Martian, cartoon character,,caricature-like,marvin the martian cartoon character, (vines), roman centurion, by Ángel Botello, rating:g, samurai pizza cats, entire character!, a character based on a haggis, robin hood, scholar, [32k hd]^10, by Bertram Brooker, 3156350975, elf"
19,4199,Pepe_Le_Pew,"Pepe_Le_Pew, cartoon character,,caricature-like,cartoon of a skunky cat and a cat in a room, bugs bunny, badger badger, masterpiece!!!!, hug, 64x64, cobra, black, jets, foto, goofy cartoon, up close picture, famous scene, style of cartoon, elvis, vine, famous"
20,17241,Betty_Boop,"Betty_Boop, cartoon character,,caricature-like,betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty betty, betty boop, 2 5 6 x 2 5 6 pixels, doing a sassy pose, white bg, a tattoo, elvis, 3945074687, wearing red clothes, very romantic, dusty, vsx, vamp, rack"
21,14533,Pink_Panther,"Pink_Panther, cartoon character,,caricature-like,pink panther cartoon character with big eyes and a big smile, 😃😀😄☺🙃😉😗, with arms bare, ((tiger)), pleading face, meme, bears, hand on cheek, photo high definition, jurgens, waving arms, side fed, coal, uploaded"
22,24303,Peter_Griffin,"Peter_Griffin, cartoon character,,caricature-like,a close up of a cartoon character of a man in a white shirt, she has a jiggly fat round belly, family guy style, 2 5 6 x 2 5 6 pixels, david gilmour, lean man with light tan skin, greens, tight wrinkled cloath, full - body - front - shot, balding, celtic, pig nose, actor"
23,5245,Felix_the_Cat,"Felix_the_Cat, cartoon character,,caricature-like,a close up of a cartoon cat with its arms out, steamboat willy, jdm, [ cosmic, betty boop, wikipedia, looney tunes, icon black and white, smile coy, inspired by Harvey Kurtzman, from sonic, logo, vine, cash, group photo, iu, here's johnny, josh black, uhq, official photo"
24,2474,Mighty_Mouse,"Mighty_Mouse, cartoon character,,caricature-like,mickey mouse flying in the air with a red cape and a yellow shirt, saving the day again, graphic”, come on, to be, day time, steve, saturday morning cartoon, daniel, pic, hero, sandy, a picture, come, saws, vine, rocky, smokey, sf, 3 pm, ashy, in the morning, picture"
25,25187,Astro_Boy,"Astro_Boy, cartoon character,,caricature-like,cartoon image of a boy in a black shirt and red boots, mega man, betty boop, emerald, [32k hd]^10, 2 5 6 x 2 5 6 pixels, bomberman, manga 1980, captain, premiere, elongated arms, (mist), head shot, jump pose, nylon, pen, kid, nipple"
26,26256,Optimus_Prime,"Optimus_Prime, cartoon character,,caricature-like,a close up of a robot with a white background, optimus prime, 2 5 6 x 2 5 6 pixels, --n 6, john berry, phot, bella, kid a, life. america 2 0 9 8, michael bay, scrap, nba, wide scene, f 1 1, tall thin, a picture, ooak, cr3, kid"
27,18774,Scooby-Doo's_Shaggy,"Scooby-Doo's_Shaggy, cartoon character,,caricature-like,a close up of a cartoon of a man and a woman, shaggy, rescue from the underworld!!!!!!, looking in the mirror, peter, johnny, afraid, cone, movie clip, hziulquoigmnzhah, filmation, doors, crimes, premiere, siliconized, uhq, ((blue)), fog!!!, compressed jpeg, titanium"
28,3765,Inspector_Gadget,"Inspector_Gadget, cartoon character,,caricature-like,cartoon man in a hat and coat holding a magnifying glass, whose mind is pure machinery, close-up!!!!!!, 2 5 6 x 2 5 6 pixels, handcuffs, scientific depiction, jim woodring, hasbro, officer, bisley, algorithm, tungsten, the"
29,11486,Kim_Possible,"Kim_Possible, cartoon character,,caricature-like,cartoon girl with orange hair and green pants holding a guitar, kim possible, wearing cargo pants, spy kids juni cortez, insect trainer girl, alabama, duster, but very good looking”, celtic, shadow, looks a bit similar to amy adams, alexa65, voodoo”"
30,32398,Bugs_Bunny's_Lola,"Bugs_Bunny's_Lola, cartoon character,,caricature-like,cartoon rabbit in a yellow shirt and blue shorts sitting in a circle, sonic (series), she is about 1 6 years old, wearing track and field suit, jessica rabbit, uploaded, avatar for website, tony the tiger, 64x64, foto, 9 0 - s, rabbit_bunny, jump, classic beauty, rack, fitness, cartoons, sf"
31,28768,Casper_the_Friendly_Ghost,"Casper_the_Friendly_Ghost, cartoon character,,caricature-like,casper the friendly ghost casperer, comic book's cover, 2 5 6 x 2 5 6 pixels, inspired by Al Feldstein, halloween celebration, sony pictures, group photo, not cropped, flying on the broom, argos, promotional picture, ghostbusters, 2014, animated movie scene, kewpie, on, jump comics, ghosts, left"
32,701,Courage_the_Cowardly_Dog,"Courage_the_Cowardly_Dog, cartoon character,,caricature-like,cartoon dog with a red nose and a black nose and a pink nose, courage the cowardly dog, patrick nagle!!, pink iconic character, confused expression, alabama, dirty rats, gaspar noe, pregnancy, aoc, cockroach character, high school, sugar"
33,13219,Johnny_Bravo,"Johnny_Bravo, cartoon character,,caricature-like,cartoon of a man with a yellow mohawk and sunglasses, johnny bravo, wearing a dark shirt and jeans, small blond goatee, arrow, tight black tanktop, highly_detailded, princess, rotoscoped, 4 arms, quinn, bite, cool pose, fame, dolph lundgren, line sleek, heroengine, blues, spiky"
34,18743,Top_Cat,"Top_Cat, cartoon character,,caricature-like,painting of a cat in a top hat and vest next to a trash can, filmation, a dingo mascot, children's cartoon, ((zerator)), gold, year 1968, on a street, juanmao, scanned in, smirk, a green, emir, tekkon kinkret, daisy, 1961”, captain"
35,12762,Rocko_(from_Rocko's_Modern_Life),"Rocko_(from_Rocko's_Modern_Life), cartoon character,,caricature-like,a close up of a cartoon dog running with a tennis racket, greg rutkowski and moebius, slice of life”, bolero, an album cover, woody\'s homework, rabbids at a metal concert, polish, inspired by Malcolm Morley, wolff olins |, wonderous, starts, pools, cd cover artwork, rokoko, thumbnail, oozing"
36,2202,"The_Powerpuff_Girls_(Blossom,_Bubbles,_and_Buttercup)","The_Powerpuff_Girls_(Blossom,_Bubbles,_and_Buttercup), cartoon character,,caricature-like,cartoon girl with red hair and pink dress with big ears, powerpuff girls style, zoomed in, ember, with round cheeks, ribbon, grimes, with big rabbit ears, very grainy, pins, patrick, 64x64, ny, kombi, bubbles ”"
37,15182,"Rugrats_(Tommy,_Chuckie,_Phil_&_Lil,_Angelica)","Rugrats_(Tommy,_Chuckie,_Phil_&_Lil,_Angelica), cartoon character,,caricature-like,a close up of a toy with a red hair and glasses, nickelodeon, gif, children's cartoon, bubbles ”, investigation, spike, cinématique”, howard, little kid, having a snack, red and purple coloring, pudgy, we, thinking, movie still, thugs, she"
38,11107,Doug_Funnie,"Doug_Funnie, cartoon character,,caricature-like,cartoon boy with arms up in the air, inspired by Bill Watterson, a bald, hd picture, leg high, chav, vsx, einstein, my favorite friend, inspired by John Opie, uploaded, teenage, celtics, muck, an oldman, carefree"
39,2363,Dexter_(from_Dexter's_Laboratory),"Dexter_(from_Dexter's_Laboratory), cartoon character,,caricature-like,a cartoon book cover of a cartoon character flying through the air, dale keown and van sciver, powerpuff girls style, highly_detailded, cthylla's laboratory!, supersharp photo, chris farley, hamburglar, betty cooper, little kid, diode, cartoon strip, raider, tense, ray, intercrossed, super, interlocked"
40,23575,"The_Fairly_OddParents_(Timmy_Turner,_Cosmo,_Wanda)","The_Fairly_OddParents_(Timmy_Turner,_Cosmo,_Wanda), cartoon character,,caricature-like,cartoon boy with a big smile and a big smile on his face, gravity falls style, head bent back in laughter, clipart, with brown hair, arney freyag, the amazing world of gumball, not cropped, male teenager, video, exploitable image, amazed, no logo, timothy rees, el chavo, thin young male, manual"
41,15679,Avatar_Aang_(from_Avatar:_The_Last_Airbender),"Avatar_Aang_(from_Avatar:_The_Last_Airbender), cartoon character,,caricature-like,avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar avatar, inspired by Gong Xian, standing on a lotus, chilling, standing atop a pile of rubble, one of the weavers of destiny, children's animated films, an epic anime of tuff luck, fast paced"
