case_number,name,evaluation_seed,prompt
0,taylor_swift,44811,"Taylor Swift, detailed eyes and skin, araffed taylor swift performs at a concert with a microphone, golden inlays, taylor swift modeling, jeweled, 2019 trending photo, tn, toronto, sri lanka, posed, lalisa manobal, fashion icon, on, sparkling blue eyes, golden dress, smug look"
1,eden_hazard,26299,"eden_hazard, detailed eyes and skin, araffed soccer player in white uniform walking on a field, singer maluma, cognitohazard, choke smirk smile grin, square, taken in 2022, ap, madrid, will terry, # oc, without text, february), rey, 513330673, fan favorite, window open, emir, defined, remove"
2,angela_merkel,19104,"angela_merkel, detailed eyes and skin, arafed woman in a red top and necklace looking at the camera, angela merkel, photograph taken in 2 0 2 0, high resolution image, wooden, no watermark, no crop, the president, beam, p. j. n, mid portrait, benjamin vnuk, center, the iron lady, highdetaild, profile image"
3,bruno_fernandes,19303,"bruno_fernandes, detailed eyes and skin, a close up of a man in a red shirt clapping, borja, with a full black beard, 👁🌹👾, halfing, mu pan, a sad, monumental achievement, sunday, 1 0, motivational, mahmud barzanji, on, charles, ap, life like, darius zawadzki"
4,odell_beckham_Jr,8249,"odell_beckham_Jr, detailed eyes and skin, arafed football player sitting on the ground with a helmet on, browns and whites, 🤬 🤮 💕 🎀, brown beard, is this loss?, gallows, telephoto shot, 1683, fry, graves, 2 0 2 1, the hime cut, charles perry, iralki nadar"
5,luka_modric,26992,"luka_modric, detailed eyes and skin, araffes of a soccer player is celebrating a goal, 👁🌹👾, in white clothes, ole thomas style, jakub kasper, official photos, madrid, smiley, 2 0 2 2 photo, centered shot, benjamin vnuk, mobile, bizzaro, 4l, 4 k ], ilya golitsyn, former, oud, glazed"
6,stan_wawrinka,38388,"stan_wawrinka, detailed eyes and skin, there is a man that is playing tennis on the court, he got a big french musctache, adrian borda, an orange, window open, liam, not cropped, white sleeves, chris haas and bernini, recognizable, square, 1128x191 resolution, big shoulders, mercury, telephoto zoom, ben watts, rongier"
7,michael_bloomberg,33322,"michael_bloomberg, detailed eyes and skin, arafed image of a man in a suit and tie, presidential portrait, nickelodeon, light stubble with red shirt, michael kors, pepper, tf 1, lights on, charles, roygbiv, official government photo, quinn, full device, a wide full shot, ashy, looking from shoulder, bet face, beksinsky, facing front, hgtv"
8,antoine_griezmann,2716,"antoine_griezmann, detailed eyes and skin, there is a man with a green shirt and a white shirt, soccer player antoine griezmann, detailed face with moustache, bench, short dark blond beard, by Rudolf Koller, grimacing, square, 15081959 21121991 01012000 4k, magnus carlsen, shutterstock"
9,lionel_messi,21416,"lionel messi, detailed eyes and skin, arafed man with a tattoo on his arm and a soccer ball,  avatar image, profile image, thumbnail, conor mcgregor, argentina, tobey maguire, dang ngo, profile picture, color picture"
10,gianluigi_buffon,32419,"gianluigi_buffon, detailed eyes and skin, a close up of a soccer player giving the thumbs up, roberto benardi, former, photo photo, various posed, mantegna, to, standing triumphant and proud, ap, abcdefghijklmnopqrstuvwxyz, captain, attractive photo, ca, real image, jk, fra, iu, david a, may"
11,vincent_van_gogh,14859,"vincent_van_gogh, detailed eyes and skin, a painting of a man with a beard and a black jacket, reddish beard, artgerm and william bouguereau, australian tonalism, pixabay, closeup - view, gustave loiseau, wikimedia commons, van gogh painting"
12,novak_djokovic,61581,"novak_djokovic, detailed eyes and skin, arafed tennis player looking up at the sky with a tennis racket in his hand, looking sad, photo from 2022, aaron rodgers, dubai, looking her shoulder, ap news photo, feature, low-light, the photo shows a large, looking serious, marco plouffe, we, a bald, "
13,rafael_nadal,15642,"rafael_nadal, detailed eyes and skin, arafed tennis player smiling and holding a racket on a court, cristiano ronaldo, wikimedia, avatar image, orelsan, matthew mcconaughey, 3 2 - year - old, london, smiling male, ox, square, attractive photo, by Dean Ellis, photo taken in 2018, 4 0 9 6, oleg bulakh, swedish"
