prompt_id,count
14,1
21,1
25,1
26,2
28,3
34,3
38,1
43,3
45,2
48,3
53,2
56,4
60,3
64,3
68,1
69,2
73,1
77,3
81,3
86,5
87,2
89,1
95,1
97,1
102,1
106,1
122,1
123,1
126,1
127,3
132,5
134,1
135,1
137,1
142,1
149,1
150,5
153,1
156,1
159,2
161,1
163,1
165,5
168,1
172,1
174,2
177,3
178,2
179,1
190,1
196,1
199,5
200,2
211,1
212,1
215,1
219,1
222,4
223,1
224,1
225,1
228,1
230,3
233,1
234,2
246,4
248,2
254,1
260,1
262,1
264,3
270,1
272,2
275,1
280,2
282,1
283,4
292,2
295,1
298,1
302,2
303,5
306,2
308,5
310,2
311,5
313,1
316,1
321,4
322,4
324,1
327,2
329,1
330,1
331,1
335,5
336,1
337,3
339,1
342,2
343,1
345,3
350,1
358,1
360,1
364,1
371,1
372,1
375,3
378,4
383,1
387,4
400,1
401,2
405,3
407,1
411,3
415,2
416,3
419,1
421,1
424,3
427,2
428,1
429,1
435,1
446,5
448,1
450,4
452,1
453,1
456,1
460,1
465,2
469,1
476,3
488,1
490,1
491,2
496,2
498,1
501,3
506,3
510,2
529,1
530,1
534,1
535,1
538,1
539,1
542,1
547,2
549,2
555,1
561,1
562,2
563,4
566,1
568,1
569,1
572,2
575,2
576,1
577,1
585,5
586,1
587,1
591,3
594,1
601,1
605,4
606,2
610,1
612,3
615,1
616,1
617,5
618,1
621,1
626,3
629,1
630,1
631,2
637,2
650,2
653,1
655,1
658,1
660,1
665,1
666,5
669,1
670,1
678,4
680,5
693,3
698,2
700,4
701,2
706,3
707,1
714,1
719,1
729,2
734,1
735,3
738,2
745,1
750,5
751,1
752,1
755,1
756,1
757,2
759,4
764,1
769,4
771,2
772,4
774,1
778,5
787,1
794,1
799,5
802,1
804,2
809,1
810,1
811,2
812,5
813,3
814,3
816,1
820,5
824,1
826,1
830,1
831,3
835,4
839,1
840,1
843,1
847,1
863,1
868,1
870,1
871,4
875,2
881,2
887,3
888,1
