- Batman (Bruce Wayne), detailed characteristics, full-body with signature costume
- Superman (Clark Kent), detailed characteristics, full-body with signature costume
Green Lantern (Hal Jordan), detailed characteristics, full-body with signature costume
James Gordon (New Earth), detailed characteristics, full-body with signature costume
Richard Grayson (New Earth), detailed characteristics, full-body with signature costume
Wonder Woman (Diana Prince), detailed characteristics, full-body with signature costume
Aquaman (Arthur Curry), detailed characteristics, full-body with signature costume
Flash (Barry Allen), detailed characteristics, full-body with signature costume

! Timothy Drake (New Earth), detailed characteristics, full-body with signature costume
! Dinah Laurel Lance (New Earth), detailed characteristics, full-body with signature costume
! GenderTest, detailed characteristics, full-body with signature costume
